row_type,source,retrieved_at_utc,menu,category_path,category,subcategory,product_name,product_number,form_code,product_type,availability,size_code,default_size,sku,uri,image_url,notes
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Protein Matcha,28503,Hot,Beverage,Available,Grande,Grande,11182654,https://www.starbucks.com/menu/product/28503/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/SBX20250821_ProteinMatchaTeaLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Protein Matcha,28503,Hot,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/28503/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/SBX20250821_ProteinMatchaTeaLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Caramel Protein Latte,28576,Hot,Beverage,Available,Short,Grande,,https://www.starbucks.com/menu/product/28576/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/CaramelProteinLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Caramel Protein Latte,28576,Hot,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/28576/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/CaramelProteinLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Caramel Protein Latte,28576,Hot,Beverage,Available,Grande,Grande,11185160,https://www.starbucks.com/menu/product/28576/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/CaramelProteinLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Caramel Protein Latte,28576,Hot,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/28576/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/CaramelProteinLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Caramel Protein Matcha,28734,Hot,Beverage,Available,Short,Grande,,https://www.starbucks.com/menu/product/28734/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/SBX20250821_ProteinMatchaTeaLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Caramel Protein Matcha,28734,Hot,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/28734/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/SBX20250821_ProteinMatchaTeaLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Caramel Protein Matcha,28734,Hot,Beverage,Available,Grande,Grande,11185219,https://www.starbucks.com/menu/product/28734/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/SBX20250821_ProteinMatchaTeaLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > High Protein Lattes,High Protein Lattes,High Protein Lattes,Caramel Protein Matcha,28734,Hot,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/28734/hot,https://cloudassets.starbucks.com/is/image/sbuxcorp/SBX20250821_ProteinMatchaTeaLatte,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > No Added Sugar Options,No Added Sugar Options,No Added Sugar Options,Iced Sugar-Free Vanilla Protein Latte,28500,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/28500/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedCaffeLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > No Added Sugar Options,No Added Sugar Options,No Added Sugar Options,Iced Sugar-Free Vanilla Protein Latte,28500,Iced,Beverage,Available,Grande,Grande,11182671,https://www.starbucks.com/menu/product/28500/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedCaffeLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > No Added Sugar Options,No Added Sugar Options,No Added Sugar Options,Iced Sugar-Free Vanilla Protein Latte,28500,Iced,Beverage,Available,Venti,Grande,,https://www.starbucks.com/menu/product/28500/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedCaffeLattewProtein,
product_size,Starbucks official menu API,2026-05-16T22:20:55Z,Drinks,Protein Beverages > No Added Sugar Options,No Added Sugar Options,No Added Sugar Options,Iced Sugar-Free Vanilla Protein Matcha,28504,Iced,Beverage,Available,Tall,Grande,,https://www.starbucks.com/menu/product/28504/iced,https://cloudassets.starbucks.com/is/image/sbuxcorp/IcedMatchaTeaLattewProtein,
